# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.02397156931066,4.807469785879743,-0.0026181782304686018,0,3.0,-0.007693084862033096,0.0,0.0,0.0
 0.08930465610788012,2.03593455170199,4.8074692392213265,-0.0026181782304686018,0.26791396832364034,3.0,-0.007693084862033096,0.0,-0.14286147453058892,0.0
 0.12610134971618417,2.0478238947862337,4.807467605092689,-0.007875008137201215,0.3783040491485525,2.9999999999999996,-0.0077735791245334696,0.0,-0.1878484611607337,0.0
 0.15420467687311276,2.0596401924287697,4.807464892263753,-0.013154174897126909,0.4626140306193382,2.9999999999999982,-0.007854111846825546,0.0,-0.22478950342666681,0.0
 0.1777872703162327,2.0713840384949798,4.807461109504438,-0.01845529436671881,0.5333618109486981,3.0000000000000013,-0.007934642719932146,0.0,-0.25737059025094344,0.0
 0.1984682335457082,2.083056026850242,4.807456265584668,-0.023777966080046974,0.5954047006371245,2.9999999999999973,-0.008015139904802947,0.0,-0.2871293858113825,0.0
 0.21707937964146665,2.094656751359936,4.807450369274362,-0.029121773027768007,0.6512381389243999,3.0000000000000013,-0.008095561567654246,0.0,-0.3148865379095647,0.0
 0.2341157010488071,2.1061868058894424,4.807443429343442,-0.03448628129444005,0.7023471031464212,3.0,-0.008175868885925277,0.0,-0.34114050108735466,0.0
 0.24990027798545159,2.1176467843041404,4.807435454561828,-0.03987103978005885,0.7497008339563547,3.0,-0.008256020561715371,0.0,-0.3662197237975847,0.0
 0.26465792151046025,2.12903728046941,4.807426453699441,-0.045275579915690735,0.7939737645313806,2.9999999999999942,-0.00833597273646491,0.0,-0.39035313149317347,0.0
 0.2785526106393259,2.1403588882506313,4.807416435526204,-0.0506994153282676,0.8356578319179776,3.000000000000004,-0.008415684635667295,0.0,-0.4137069420380168,0.0
 0.2917083635023919,2.151612201513183,4.807405408812037,-0.056142041615454504,0.8751250905071755,2.9999999999999956,-0.008495107160520895,0.0,-0.4364055962152087,0.0
 0.3042217098109104,2.1627978141224453,4.807393382326862,-0.061602935971870915,0.9126651294327311,3.000000000000009,-0.008574194214588196,0.0,-0.4585444818055228,0.0
 0.3161695605442989,2.1739163199437987,4.807380364840599,-0.06708155699510228,0.9485086816328966,2.9999999999999956,-0.008652896977289673,0.0,-0.4801980378945627,0.0
 0.3276143955809467,2.184968312842622,4.807366365123169,-0.07257734432372749,0.9828431867428398,2.9999999999999853,-0.008731166185044567,0.0,-0.5014251673071589,0.0
 0.338607808861639,2.1959543866842948,4.8073513919444935,-0.07808971841727537,1.0158234265849166,2.999999999999995,-0.008808946146292494,0.0,-0.5222729479534394,0.0
 0.34919300547879906,2.2068751353341973,4.807335454074494,-0.08361808025918634,1.047579016436397,3.0000000000000107,-0.008886190204775426,0.0,-0.5427792698773172,0.0
 0.3594066063956637,2.2177311526577093,4.8073185602830915,-0.08916181110766042,1.0782198191869907,2.9999999999999893,-0.008962840432713743,0.0,-0.5629747456757155,0.0
 0.36927998202892653,2.2285230325202106,4.807300719340207,-0.09472027224375737,1.1078399460867792,2.999999999999989,-0.009038839461842006,0.0,-0.5828841235198476,0.0
 0.3788402569191378,2.2392513687870803,4.807281940015761,-0.10029280469374698,1.1365207707574132,3.000000000000023,-0.009114131788850175,0.0,-0.6025273620252799,0.0
 0.3881110795814792,2.2499167553236985,4.807262231079676,-0.10587872901629174,1.1643332387444376,3.0000000000000178,-0.009188657621203269,0.0,-0.6219204477945512,0.0
 0.3971132213712147,2.2605197859954456,4.807241601301872,-0.11147734506927405,1.191339664113644,3.0,-0.009262356512859945,0.0,-0.6410760300807534,0.0
 0.4058650486431295,2.2710610546676997,4.807220059452271,-0.11708793175270568,1.2175951459293883,2.999999999999987,-0.009335164811510532,0.0,-0.6600039331982924,0.0
 0.41438289953339463,2.2815411552058427,4.807197614300794,-0.12270974684267724,1.2431486986001838,3.000000000000013,-0.009407018128142059,0.0,-0.6787115501672479,0.0
 0.4226813879257959,2.2919606814752527,4.80717427461736,-0.12834202676352882,1.2680441637773876,2.9999999999999933,-0.009477855260069,0.0,-0.6972041643769427,0.0
 0.43077365111275745,2.3023202273413093,4.807150049171893,-0.13398398635671263,1.2923209533382722,3.0,-0.009547605207451014,0.0,-0.71548522927075,0.0
 0.4386715534094874,2.3126203866693933,4.807124946734314,-0.13963481879224643,1.316014660228462,2.999999999999986,-0.009616201376271831,0.0,-0.7335565651370893,0.0
 0.4463858549434859,2.3228617533248843,4.807098976074541,-0.1452936953279582,1.3391575648304574,2.999999999999986,-0.00968357243105771,0.0,-0.7514185452356111,0.0
 0.4539263526417682,2.333044921173161,4.807072145962499,-0.15095976513875395,1.3617790579253044,3.0000000000000075,-0.009749652974929674,0.0,-0.7690702600748796,0.0
 0.46130199882260575,2.343170484079604,4.807044465168107,-0.15663215526527097,1.3839059964678169,2.999999999999985,-0.00981436330446895,0.0,-0.786509621200555,0.0
 0.46852100159743393,2.3532390359095934,4.807015942461287,-0.16230997040314682,1.4055630047923016,3.000000000000023,-0.009877632305944626,0.0,-0.8037334835993212,0.0
 0.47559091038530704,2.3632511705285077,4.806986586611959,-0.16799229282195352,1.426772731155921,3.0000000000000235,-0.009939386742256954,0.0,-0.8207377360744976,0.0
 0.4825186891557907,2.3732074818017277,4.806956406390045,-0.17367818228606527,1.4475560674673722,3.000000000000016,-0.009999546939246642,0.0,-0.8375173725350088,0.0
